team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
PAK,Shaheen Shah Afridi (PAK),bowl,60,45,3,0.05,0.75,v South Africa,Chennai,27-Oct-23,10,0,4.5,2,,,,,
ENG,DJ Willey (ENG),bowl,60,45,3,0.05,0.75,v India,Lucknow,29-Oct-23,10,2,4.5,1,,,,,
NZ,MJ Henry (NZ),bowl,60,48,3,0.05,0.8,v England,Ahmedabad,5-Oct-23,10,1,4.8,1,,,,,
NZ,LH Ferguson (NZ),bowl,60,49,3,0.05,0.816666667,v Bangladesh,Chennai,13-Oct-23,10,0,4.9,1,,,,,
AFG,Noor Ahmad (AFG),bowl,60,49,3,0.05,0.816666667,v Pakistan,Chennai,23-Oct-23,10,0,4.9,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,51,3,0.05,0.85,v England,Delhi,15-Oct-23,10,1,5.1,2,,,,,
ENG,AU Rashid (ENG),bowl,48,54,3,0.0625,1.125,v Netherlands,Pune,8-Nov-23,8,0,6.75,2,,,,,
NED,LV van Beek (NED),bowl,53,60,3,0.056603774,1.132075472,v South Africa,Dharamsala,17-Oct-23,8.5,0,6.79,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,54,60,3,0.055555556,1.111111111,v Pakistan,Eden Gardens,31-Oct-23,9,0,6.66,2,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,60,60,3,0.05,1,v New Zealand,Bengaluru,4-Nov-23,10,0,6,1,,,,,
SA,G Coetzee (SA),bowl,60,62,3,0.05,1.033333333,v Bangladesh,Wankhede,24-Oct-23,10,0,6.2,2,,,,,
SA,G Coetzee (SA),bowl,54,68,3,0.055555556,1.259259259,v Sri Lanka,Delhi,7-Oct-23,9,0,7.55,2,,,,,
SL,D Madushanka (SL),bowl,60,69,3,0.05,1.15,v Bangladesh,Delhi,6-Nov-23,10,1,6.9,2,,,,,
AUS,A Zampa (AUS),bowl,60,74,3,0.05,1.233333333,v New Zealand,Dharamsala,28-Oct-23,10,0,7.4,2,,,,,
NED,BFW de Leede (NED),bowl,60,74,3,0.05,1.233333333,v England,Pune,8-Nov-23,10,0,7.4,1,,,,,
BAN,Shoriful Islam (BAN),bowl,60,75,3,0.05,1.25,v England,Dharamsala,10-Oct-23,10,0,7.5,1,,,,,
NZ,TA Boult (NZ),bowl,60,77,3,0.05,1.283333333,v Australia,Dharamsala,28-Oct-23,10,0,7.7,1,,,,,
BAN,Tanzim Hasan Sakib (BAN),bowl,60,80,3,0.05,1.333333333,v Sri Lanka,Delhi,6-Nov-23,10,0,8,1,,,,,
PAK,Haris Rauf (PAK),bowl,48,83,3,0.0625,1.729166667,v Australia,Bengaluru,20-Oct-23,8,0,10.37,1,,,,,
ENG,RJW Topley (ENG),bowl,53,88,3,0.056603774,1.660377358,v South Africa,Wankhede,21-Oct-23,8.5,0,9.96,1,,,,,
